"","1","2","3","4","5","6","7","8","9","10","11","12"
"-89",0.997501593051121,0.996570101591778,0.993629756087485,0.993629756087485,0.992476127707811,0.992711207673977,0.889219444575088,0.885967282148943,0.885967282148943,0.885786103183698,0.945991597338101,0.9645226323812
"-86",0.997501593051121,0.996468289520601,0.993588090308573,0.993588090308573,0.992034455878849,0.992711207673977,0.89016662186996,0.884918596931779,0.884918596931779,0.88446369413587,0.945991597338101,0.9645226323812
"-82",0.997501593051121,0.996750846993918,0.993757688984519,0.993757688984519,0.991592677459935,0.992711207673977,0.889835202541639,0.883585711112377,0.883585711112377,0.882951865896242,0.945991597338101,0.9645226323812
"-78",0.997501593051121,0.996952656099442,0.993995727242043,0.99389444781456,0.991910969924719,0.992711207673977,0.898502359259784,0.885935569785197,0.885935569785197,0.893085874598319,0.945991597338101,0.9645226323812
"-74",0.985447406173494,0.996418942900477,0.993121551543157,0.989959280278999,0.987790927819117,0.975779689216752,0.928283711151523,0.904872030365647,0.898282353151571,0.902410188799392,0.950082710602496,0.968361942080756
"-70",0.98601737391424,0.996753016408444,0.992290945421979,0.990084534414029,0.988355797513115,0.978800779883454,0.938585683048224,0.92194675599441,0.906227020021388,0.916151379107869,0.951325837068928,0.971417490018516
"-66",0.986761141580292,0.996324879016396,0.992697793980679,0.990355601987047,0.990014229190176,0.981497173496086,0.951539790480833,0.935511715030657,0.917044777430286,0.934379284455621,0.95797851666131,0.974907414054804
"-62",0.987514892215873,0.996447225290521,0.994330037649351,0.990710766875935,0.991628928507801,0.983053900788006,0.956820220367003,0.941887175144532,0.92793671058208,0.951498422141791,0.964547936262289,0.977713493084288
"-58",0.987920556937461,0.996747429242454,0.996002627717251,0.991027989992222,0.992208641630501,0.984033927301666,0.961159242991394,0.948430955811487,0.93712826289093,0.965163989490915,0.973079989056687,0.982930057238028
"-54",0.992859762793482,0.998601904437651,1.00203292308573,0.997477789156259,0.999205311988888,0.991965007125828,0.9849069883692,0.971151305708398,0.967210610767448,0.985032567421532,0.98861639828594,0.992001900881058
"-50",0.997459978039915,1.00039242225807,1.0054771003023,1.00416200866179,1.00728565766514,1.004296878722,1.0002941373633,0.991277197249612,0.990047972945104,1.00170095754228,1.00051354609582,0.99943212587655
"-46",1.00115261760779,1.00214646520757,1.00573198089849,1.00786496244226,1.01380810484865,1.01853670123528,1.01081197401702,1.00588841461458,1.00124860699584,1.0091191983071,1.00879222084397,1.00521739322908
"-42",1.00368060922881,1.00280117168019,1.00455311825405,1.00815253860618,1.01515248842819,1.02225889590344,1.01681438157003,1.01500498783654,1.01448439908323,1.01790517464336,1.01755701998206,1.0116871522875
"-38",1.00536374993175,1.00367505955227,1.00358011971423,1.00777812368804,1.01321942223532,1.02140333272821,1.01962069051642,1.01921363118722,1.02331508853534,1.02377663303338,1.02268776917236,1.01766686355351
"-34",1.00483779260476,1.00276298359051,1.00248693332381,1.00676749735228,1.01123904797474,1.02283427502059,1.02195290977068,1.0215932952817,1.02594325253418,1.02641866379946,1.02479071340878,1.0209220709484
"-30",1.00481708152576,1.00168482772314,1.00158341150727,1.0048126490006,1.00387835203508,1.01630087328213,1.02084169728361,1.02175619545306,1.02739543721638,1.02832184402036,1.02670882022612,1.02373299555296
"-26",1.00666182941822,1.00352097916356,1.00299565498094,1.00386456539545,1.00216881216156,1.01098236097897,1.01811486652762,1.01872849381658,1.02593026189068,1.02924683483289,1.02761385756752,1.02547190701735
"-22",1.00965475737664,1.00584824591029,1.0045394736381,1.00337373049674,1.00149316140803,1.01249642427423,1.016634908731,1.01674334873239,1.02406695611362,1.02912823316141,1.02793976439616,1.02646069137775
"-18",1.01429079647963,1.00965208888029,1.00697585296988,1.00308810493445,1.00219471241085,1.01401048756949,1.01561632825841,1.01561632825841,1.02132860807988,1.02745845805515,1.02676246605366,1.02615008013071
"-14",1.02048686234397,1.01627507167931,1.01145942414291,1.00496099042545,1.0051091196993,1.01552455086475,1.01701419965512,1.01701419965512,1.02097620915997,1.02677657738759,1.02665118831811,1.02663754544892
"-10",1.02613567796204,1.0235070569052,1.01784950570073,1.01010536002882,1.01072764712569,1.01703861416002,1.0183979031917,1.0183979031917,1.02098782773191,1.02554374418938,1.02571020024641,1.02620966905326
"-6",1.0296235722878,1.02858346972829,1.0223849737989,1.01569734907318,1.01597025126733,1.01855267745528,1.02114144485763,1.02114144485763,1.02225838763251,1.02414372508323,1.02445378535748,1.02543153902963
"-2",1.03005586715756,1.03032385355675,1.02536247166915,1.02052289633026,1.02052289633026,1.02006674075054,1.0225358954793,1.0225358954793,1.02180022893841,1.02121149804863,1.02123613408332,1.02418450111931
"2",1.03293065524287,1.03293065524287,1.02855032728798,1.02414427695589,1.02405907575798,1.02158080404581,1.02192676082505,1.02198127131183,1.02126564190921,1.02018788678479,1.02018788678479,1.02383691511577
"6",1.03158747629828,1.03158747629828,1.02940903109809,1.02667730070134,1.02644543711264,1.02345082874591,1.02033113787276,1.02036087586675,1.0185724971741,1.01611347647171,1.01611347647171,1.02348932911222
"10",1.02906341439134,1.02906341439134,1.02895011876865,1.02860711734839,1.02852456611224,1.02711873998405,1.01619729639417,1.01446796948069,1.01300005132756,1.00969592313119,1.01083328480086,1.02314174310868
"14",1.02673467314289,1.02673467314289,1.02937121183269,1.03075661353819,1.03017445158271,1.02857512859488,1.01214625721351,1.00964851004019,1.00902967357512,1.00657763040494,1.00797844431619,1.02279415710513
"18",1.02697231561549,1.02697231561549,1.02906065778639,1.03126419419807,1.03059561780063,1.02942848773417,1.00738462095632,1.00471612695362,1.00477539782162,1.00392652842117,1.00463719931593,1.02244657110158
"22",1.02464740257733,1.02497701884737,1.02853376781678,1.03027157588973,1.0295599796976,1.02680656952905,1.00429623086427,1.00329418221234,1.00347749707325,1.00439191655572,1.00341110758725,1.02209898509804
"26",1.0230399053355,1.02336203189576,1.02719779996468,1.02803373459343,1.02687502041683,1.02312332159446,1.00200519008627,1.00308500979356,1.00287913563949,1.00525650125643,1.00431978968449,1.02175139909449
"30",1.02120132163132,1.0204953249099,1.02526630119444,1.02462401845493,1.02325267101018,1.01803514274321,1.00150135045649,1.00373159739623,1.00428544643847,1.00769854043055,1.00890280969633,1.0225094920269
"34",1.01895489748902,1.01704508609659,1.02040511298259,1.0198357912022,1.01847671260296,1.01203276380253,1.00093394458669,1.00416743947514,1.00509072850825,1.00858889343885,1.00993847716982,1.02116428713909
"38",1.01482568127269,1.00858982115494,1.0154080156047,1.0129026073916,1.01192585595304,1.00572961751038,1.00129530829017,1.00494994415015,1.0058904600232,1.00950744687406,1.01153571681931,1.01689458431525
"42",1.01306220333407,1.00678958086265,1.00764383659191,1.00525364521108,1.00442138786808,1.00112242277613,1.00107190947585,1.00491617946488,1.00577357916229,1.00902145550734,1.01249455953936,1.01592395496798
"46",1.00968944390016,1.00712570056883,1.00088768057203,0.997565820178294,0.997104048545634,0.996241547908354,0.999752288897882,1.00364002026187,1.00517267999474,1.00690653384008,1.00981899868354,1.01116763601288
"50",1.00568685058856,1.00369811301433,0.994961450845607,0.99176098574092,0.991998715059003,0.993350517876953,0.997700896524953,1.0022119700895,1.00395905219598,1.00450980060446,1.00439176220052,1.00608621017642
"54",1.0013651992264,0.998277355718299,0.990748177922576,0.987021448172753,0.988293049302195,0.991489057902916,0.995289944382719,0.999680791728934,1.0010267632386,0.997927852643363,0.998373874105318,0.999590967675158
"58",0.99735329779588,0.994147804516307,0.987516279309275,0.982832829814575,0.984984620371792,0.989379977885498,0.992545082507762,0.996728699542151,0.997715842675555,0.994180299218246,0.994527834488536,0.995599531402259
"62",0.993574794540531,0.989562511330254,0.979731473643935,0.980678786465522,0.984672306704047,0.989011062259199,0.991520148903781,0.994550776830221,0.994901538825344,0.993373255631488,0.993597355343278,0.994559983595101
"66",0.991260546554369,0.986187775972775,0.97724304662279,0.97815064364588,0.984665914439026,0.988738703310171,0.991345354214837,0.994071634071231,0.993994122011685,0.993112657141257,0.993113565720672,0.993555278046236
"70",0.986142748538088,0.980817292766214,0.973493985886145,0.974666209466725,0.984500529956504,0.988431302586746,0.991066597885519,0.993666738298711,0.992857417728507,0.992646519288964,0.992130733736735,0.991933334582779
"74",0.978474943397824,0.958108902817823,0.952393454629929,0.95048477190933,0.985839450371987,0.988475569422,0.990163424333726,0.992271336836529,0.991291935673414,0.991390040165425,0.991016999464572,0.990472378816436
"78",0.962719530390874,0.946150054510367,0.946150054510367,0.944350363769445,0.990523383898652,0.990680608491428,0.990835337455748,0.992011400385024,0.991659655632615,0.991771524318633,0.991533476799813,0.992218272642666
"82",0.961489304288813,0.942610624589868,0.942610624589868,0.937681708215267,0.990523383898652,0.990680608491428,0.990835337455748,0.992640045989922,0.991376697410541,0.991376697410541,0.990594834828196,0.992218272642666
"86",0.957905829566363,0.93856408068893,0.93856408068893,0.933943551790433,0.990523383898652,0.990680608491428,0.990835337455748,0.991682458842058,0.991055359369314,0.991055359369314,0.990796340021877,0.992218272642666
"89",0.955731355737089,0.934447643584365,0.934447643584365,0.930217617110498,0.990523383898652,0.990680608491428,0.990835337455748,0.987841940519683,0.990089592901193,0.990089592901193,0.990714422906864,0.992218272642666
